Feature,Importance
Neighbour_Shape,0.09221096987350748
Shape,0.07357172767047078
CH_median,0.04056182825577668
Neighbour_CH_count,0.03703209266370521
CH_count,0.033843233232379255
Neighbour_CH_median,0.03146148119787009
veg_temp_interaction,0.023407307196364607
Neighbour_c_latitude,0.020430529580612068
CC_mean,0.019357546309593607
Neighbour_CH_min,0.016718516973036567
c_longitude,0.015807642617220695
Neighbour_acq_time,0.015727536248231234
Neighbour_CC_mean,0.015450994323949238
Neighbour_ELEV_min,0.015029937714904618
lat_lon_interaction,0.012935391400474328
c_latitude,0.012831331173252398
CH_min,0.012632429610335392
ELEV_min,0.011920036375924025
Neighbour_ELEV_count,0.011738023497612198
Neighbour_ELEV_sum,0.011715775638130506
ELEV_mean,0.011387139630214762
Neighbour_SLP_count,0.011283035717386177
SLP_count,0.011113150652492628
Neighbour_ELEV_max,0.010585445146457735
ELEV_sum,0.010540815553567048
ELEV_max,0.010531484511993969
ELEV_median,0.010284627487748462
Neighbour_EVH_max,0.010173620139345566
ELEV_count,0.009425223396545276
Neighbour_SLP_median,0.00919813394411695
CC_ratio,0.009182366220360077
EVH_max,0.009004383302679273
SLP_mode,0.008992128054744862
SLP_median,0.008925169331298579
Neighbour_ELEV_mean,0.008816404341475197
Neighbour_ELEV_median,0.008634447510071702
Neighbour_EVH_count,0.008587284231251604
ELEV_ratio,0.008558641821044776
EVH_count,0.008497774394724007
TEMP_ave,0.006771885949540194
Neighbour_CBH_count,0.006606098636965385
Neighbour_EVH_median,0.006527967401350252
Neighbour_SLP_mode,0.006497237192807227
Neighbour_CC_count,0.0064510760507823384
TEMP_max,0.0058901615556880525
TEMP_min,0.005391874943237305
Neighbour_SLP_mean,0.005326635548218743
Neighbour_CC_median,0.005223242404435628
EVH_median,0.0051702667425244575
CBH_count,0.005117057277314606
dryness_index,0.005110560030921083
Neighbour_CBD_median,0.004951159828288843
SLP_mean,0.00485928091791663
Neighbour_CBD_count,0.00470099821757194
CBH_median,0.004679883454221567
EVC_max,0.004577295471362144
Neighbour_EVH_min,0.0045119062075040075
Neighbour_EVC_max,0.0044093782711383854
ELEV_range,0.004305374309937287
PRES_ave,0.0041779583472239
CBD_count,0.00380272302611993
WSPD_ave,0.003788480130327626
CBH_max,0.003685145363659326
ELEV_mode,0.0036720489963056853
EVH_min,0.0036679232875603115
fire_weather_index,0.003599460831167768
CC_median,0.0035962161218384505
Neighbour_EVT_min,0.0035462683934430164
EVH_sum,0.003466651758701616
Neighbour_CBH_median,0.003334203025403088
EVT_max,0.0032252434455937976
Neighbour_EVC_count,0.0031426972845764217
Neighbour_CBD_sum,0.003014340846394247
CBD_median,0.0029677806867297947
SLP_min,0.002949951631634435
EVT_sum,0.0028524906890264605
SLP_range,0.002829909191986837
Neighbour_EVT_max,0.0027863511891204917
Neighbour_EVC_median,0.0027471963982923482
Neighbour_CC_max,0.0027281006991551086
Neighbour_EVH_sum,0.0026274601918412008
Neighbour_EVT_count,0.002598278348382509
Neighbour_SLP_min,0.0025401363561167083
Neighbour_EVT_median,0.0024944725567280744
CC_count,0.0024659734107651938
CBD_max,0.0024073967717390737
Neighbour_CBH_sum,0.002346829357268008
WDIR_ave,0.002308560104318062
EVT_median,0.0022675671483246324
EVC_count,0.0022641825759759085
EVT_mode,0.0021481657921039797
CBD_min,0.002088453371304935
Neighbour_CBD_min,0.002042872123228809
Neighbour_CBH_min,0.0020377688910220475
CBH_mean,0.0020226507629234327
EVC_min,0.001998859311556246
Neighbour_SLP_max,0.001980429255694036
Neighbour_EVT_mean,0.001967778975037591
EVC_median,0.0019470277303971844
EVT_min,0.0018887032617813113
Neighbour_EVC_min,0.0018521040535084906
Neighbour_CC_min,0.0018217252335107426
CBH_sum,0.0018032818234591497
EVT_mean,0.0017870413448236768
Neighbour_CBH_mean,0.0017600052848424205
Neighbour_EVT_sum,0.0017197944247470485
Neighbour_ELEV_mode,0.0016822283297770217
CC_min,0.0016736021976191174
CBH_min,0.0016191199411986711
EVH_mean,0.001545580486229317
Neighbour_CBD_mean,0.0015144344798419574
EVT_count,0.0015050690469921727
Neighbour_EVC_sum,0.001480398066086665
Neighbour_EVH_mean,0.001466208328322993
Neighbour_CBD_max,0.0014338934210785285
EVC_sum,0.0014104848865336749
EVH_range,0.001350263328243222
EVH_ratio,0.0013422671303916652
EVC_mean,0.0013311248099162323
Neighbour_CBH_max,0.001314351667154402
Neighbour_SLP_sum,0.0012234003759555635
Neighbour_EVC_mean,0.001198971364071576
Neighbour_EVT_mode,0.0011830897603653512
CBD_sum,0.0011824979143972938
EVC_range,0.001178224767790302
WCOMP,0.0011656955202939338
SLP_max,0.0011219687171569114
CC_range,0.0010970537737784644
CBD_range,0.0010869190665662941
CBD_mean,0.0010559032146333586
Neighbour_CBD_mode,0.0010550470963395704
CBH_ratio,0.0010175384904530511
EVT_ratio,0.0010167940588366713
CBD_mode,0.0010036366461033135
EVT_range,0.0009788317414995407
CC_max,0.0009660024511130266
CBD_ratio,0.0009231403289858449
CBH_range,0.0009026137622601787
SLP_ratio,0.0008729505536379903
ELEV_diff,0.0008605050510035764
CH_sum,0.0008520917680316602
Neighbour_EVC_mode,0.0008457113439357258
CC_mode,0.0008258890771855586
SLP_diff,0.0008247457244492565
EVC_mode,0.0008217093047371845
EVC_ratio,0.0008216620130062523
Neighbour_CH_mode,0.0008143180155348185
EVT_diff,0.0008084669177695742
CC_diff,0.0007997809875068323
CC_sum,0.0007990525679816706
CH_mode,0.0007923540740761926
CBD_diff,0.0007868052510603668
